'c', 'type(B)','name', 'boundary_type', 'visible(t/f)', 'line rgb-colour', 'rgb-fill-colour',,,,,
'B','MNP01 - Westaways Creek','Exclusion','t',"rgb(0,255,0)","rgb(255,0,255)",,,,,,
'c', 'type(BP)', 'name', lat, lon, 'boundary_type', 'visible', 'rings-visible(t/f)', 'rings-number', 'rings-step', 'rings-units(N/K)', 'rings-colour'
'BP','0',-27.47715,153.3584,,,,,,,,
'BP','1',-27.4920666666667,153.3584,,,,,,,,
'BP','2',-27.5071166666667,153.344316666667,,,,,,,,
'BP','3',-27.5071166666667,153.338616666667,,,,,,,,
'BP','0',-27.47715,153.3584,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP24 - Cox Bank','Exclusion',,,,,,,,,
'BP','0',-27.5432666666667,153.289716666667,,,,,,,,
'BP','1',-27.5432666666667,153.308716666667,,,,,,,,
'BP','2',-27.5307,153.315683333333,,,,,,,,
'BP','3',-27.5327,153.33305,,,,,,,,
'BP','4',-27.5410833333333,153.336716666667,,,,,,,,
'BP','5',-27.5619333333333,153.319033333333,,,,,,,,
'BP','6',-27.5619333333333,153.304916666667,,,,,,,,
'BP','7',-27.5639833333333,153.304916666667,,,,,,,,
'BP','8',-27.57035,153.290416666667,,,,,,,,
'BP','9',-27.57035,153.290033333333,,,,,,,,
'BP','10',-27.5655,153.291116666667,,,,,,,,
'BP','11',-27.5655,153.289716666667,,,,,,,,
'BP','0',-27.5432666666667,153.289716666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP25 - Offshore North Stradbroke Island','Exclusion',,,,,,,,,
'BP','0',-27.5183333333333,153.509166666667,,,,,,,,
'BP','1',-27.5183333333333,153.536966666667,,,,,,,,
'BP','2',-27.5616666666667,153.521,,,,,,,,
'BP','3',-27.605,153.507833333333,,,,,,,,
'BP','4',-27.7016666666667,153.491733333333,,,,,,,,
'BP','5',-27.7016666666667,153.459483333333,,,,,,,,
'BP','0',-27.5183333333333,153.509166666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP26 - Price Anchorage','Exclusion',,,,,,,,,
'BP','0',-27.5810666666667,153.40765,,,,,,,,
'BP','1',-27.5810666666667,153.413416666667,,,,,,,,
'BP','2',-27.6314166666667,153.416916666667,,,,,,,,
'BP','3',-27.6264666666667,153.408733333333,,,,,,,,
'BP','4',-27.6218,153.40685,,,,,,,,
'BP','5',-27.6082166666667,153.404383333333,,,,,,,,
'BP','6',-27.5917833333333,153.40335,,,,,,,,
'BP','7',-27.5855833333333,153.405533333333,,,,,,,,
'BP','0',-27.5810666666667,153.40765,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP27 - Lamb Island','Exclusion',,,,,,,,,
'BP','0',-27.6198,153.388766666667,,,,,,,,
'BP','1',-27.6198,153.398516666667,,,,,,,,
'BP','2',-27.6239166666667,153.398716666667,,,,,,,,
'BP','3',-27.6307,153.39745,,,,,,,,
'BP','4',-27.63355,153.393233333333,,,,,,,,
'BP','5',-27.6343,153.386283333333,,,,,,,,
'BP','6',-27.6336,153.380316666667,,,,,,,,
'BP','7',-27.6324,153.379333333333,,,,,,,,
'BP','0',-27.6198,153.388766666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP28 - Pannikin Island','Exclusion',,,,,,,,,
'BP','0',-27.64915,153.34155,,,,,,,,
'BP','1',-27.64915,153.354083333333,,,,,,,,
'BP','2',-27.6872,153.35585,,,,,,,,
'BP','3',-27.6916666666667,153.351666666667,,,,,,,,
'BP','4',-27.6950333333333,153.339316666667,,,,,,,,
'BP','5',-27.6770666666667,153.325366666667,,,,,,,,
'BP','6',-27.6704666666667,153.32965,,,,,,,,
'BP','0',-27.64915,153.34155,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP29 - Willes Island','Exclusion',,,,,,,,,
'BP','0',-27.6476833333333,153.408266666667,,,,,,,,
'BP','1',-27.6476833333333,153.419716666667,,,,,,,,
'BP','2',-27.6682166666667,153.4021,,,,,,,,
'BP','3',-27.6682166666667,153.400583333333,,,,,,,,
'BP','4',-27.6637166666667,153.394633333333,,,,,,,,
'BP','5',-27.6600666666667,153.39335,,,,,,,,
'BP','6',-27.6553666666667,153.3989,,,,,,,,
'BP','7',-27.6501,153.403333333333,,,,,,,,
'BP','0',-27.6476833333333,153.408266666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP30 - Cobby Cobby Island','Exclusion',,,,,,,,,
'BP','0',-27.709,153.3708,,,,,,,,
'BP','1',-27.7274,153.401216666667,,,,,,,,
'BP','2',-27.7293,153.401216666667,,,,,,,,
'BP','3',-27.7329166666667,153.3994,,,,,,,,
'BP','4',-27.7153833333333,153.3708,,,,,,,,
'BP','0',-27.709,153.3708,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP31 - Swan Bay / Never Never Creek','Exclusion',,,,,,,,,
'BP','0',-27.7240166666667,153.405733333333,,,,,,,,
'BP','1',-27.7240166666667,153.408433333333,,,,,,,,
'BP','2',-27.7278,153.443616666667,,,,,,,,
'BP','3',-27.7279,153.443616666667,,,,,,,,
'BP','4',-27.73555,153.433433333333,,,,,,,,
